Maharashtra (MH),Thane,telecom,2
Maharashtra (MH),Thane,tourism,2
Maharashtra (MH),Thane,pharmaceutical,2
Maharashtra (MH),Thane,automobile,1
Maharashtra (MH),Thane,textile,1
Maharashtra (MH),Thane,food,5
West Bengal (WB),North 24 Parganas,telecom,1
West Bengal (WB),North 24 Parganas,tourism,3
West Bengal (WB),North 24 Parganas,pharmaceutical,1
West Bengal (WB),North 24 Parganas,automobile,4
West Bengal (WB),North 24 Parganas,textile,2
West Bengal (WB),North 24 Parganas,food,1
Karnataka (KA),Bangalore Urban,telecom,4
Karnataka (KA),Bangalore Urban,tourism,3
Karnataka (KA),Bangalore Urban,pharmaceutical,1
Karnataka (KA),Bangalore Urban,automobile,2
Karnataka (KA),Bangalore Urban,textile,5
Karnataka (KA),Bangalore Urban,food,5
Maharashtra (MH),Pune,telecom,3
Maharashtra (MH),Pune,tourism,4
Maharashtra (MH),Pune,pharmaceutical,1
Maharashtra (MH),Pune,automobile,5
Maharashtra (MH),Pune,textile,2
Maharashtra (MH),Pune,food,5
Maharashtra (MH),Mumbai suburban,telecom,4
Maharashtra (MH),Mumbai suburban,tourism,1
Maharashtra (MH),Mumbai suburban,pharmaceutical,3
Maharashtra (MH),Mumbai suburban,automobile,1
Maharashtra (MH),Mumbai suburban,textile,2
Maharashtra (MH),Mumbai suburban,food,5
West Bengal (WB),South 24 Parganas,telecom,3
West Bengal (WB),South 24 Parganas,tourism,5
West Bengal (WB),South 24 Parganas,pharmaceutical,1
West Bengal (WB),South 24 Parganas,automobile,2
West Bengal (WB),South 24 Parganas,textile,5
West Bengal (WB),South 24 Parganas,food,4
West Bengal (WB),Bardhaman,telecom,4
West Bengal (WB),Bardhaman,tourism,4
West Bengal (WB),Bardhaman,pharmaceutical,3
West Bengal (WB),Bardhaman,automobile,5
West Bengal (WB),Bardhaman,textile,5
West Bengal (WB),Bardhaman,food,2
Gujarat (GJ),Ahmedabad,telecom,5
Gujarat (GJ),Ahmedabad,tourism,4
Gujarat (GJ),Ahmedabad,pharmaceutical,1
Gujarat (GJ),Ahmedabad,automobile,3
Gujarat (GJ),Ahmedabad,textile,4
Gujarat (GJ),Ahmedabad,food,1
West Bengal (WB),Murshidabad,telecom,5
West Bengal (WB),Murshidabad,tourism,1
West Bengal (WB),Murshidabad,pharmaceutical,2
West Bengal (WB),Murshidabad,automobile,4
West Bengal (WB),Murshidabad,textile,1
West Bengal (WB),Murshidabad,food,5
Rajasthan (RJ),Jaipur,telecom,4
Rajasthan (RJ),Jaipur,tourism,2
Rajasthan (RJ),Jaipur,pharmaceutical,5
Rajasthan (RJ),Jaipur,automobile,1
Rajasthan (RJ),Jaipur,textile,4
Rajasthan (RJ),Jaipur,food,5
Maharashtra (MH),Nashik,telecom,4
Maharashtra (MH),Nashik,tourism,3
Maharashtra (MH),Nashik,pharmaceutical,1
Maharashtra (MH),Nashik,automobile,1
Maharashtra (MH),Nashik,textile,5
Maharashtra (MH),Nashik,food,1
Uttar Pradesh (UP),Allahabad,telecom,1
Uttar Pradesh (UP),Allahabad,tourism,1
Uttar Pradesh (UP),Allahabad,pharmaceutical,1
Uttar Pradesh (UP),Allahabad,automobile,1
Uttar Pradesh (UP),Allahabad,textile,5
Uttar Pradesh (UP),Allahabad,food,1
Bihar (BR),Patna,telecom,3
Bihar (BR),Patna,tourism,4
Bihar (BR),Patna,pharmaceutical,4
Bihar (BR),Patna,automobile,5
Bihar (BR),Patna,textile,2
Bihar (BR),Patna,food,2
West Bengal (WB),Hooghly,telecom,2
West Bengal (WB),Hooghly,tourism,1
West Bengal (WB),Hooghly,pharmaceutical,2
West Bengal (WB),Hooghly,automobile,4
West Bengal (WB),Hooghly,textile,3
West Bengal (WB),Hooghly,food,2
Telangana (TS),Ranga Reddy,telecom,1
Telangana (TS),Ranga Reddy,tourism,5
Telangana (TS),Ranga Reddy,pharmaceutical,4
Telangana (TS),Ranga Reddy,automobile,2
Telangana (TS),Ranga Reddy,textile,3
Telangana (TS),Ranga Reddy,food,5
West Bengal (WB),Nadia,telecom,1
West Bengal (WB),Nadia,tourism,3
West Bengal (WB),Nadia,pharmaceutical,2
West Bengal (WB),Nadia,automobile,3
West Bengal (WB),Nadia,textile,5
West Bengal (WB),Nadia,food,2
Andhra Pradesh (AP),East Godavari,telecom,5
